Instancia,Risco Cultural
1,0.0%
2,0.0%
3,0.0%
4,14.28%
5,14.28%
6,19.84%
7,5.56%
8,14.28%
9,5.56%
10,19.84%
11,30.95%
12,0.0%
13,14.28%
14,0.0%
15,16.66%
16,5.56%
17,16.66%
18,5.56%
19,5.56%
20,5.56%
21,5.56%
22,0.0%
